Pricelist,Vendor,Category,Product,Package Name,Inventory,Item Unit,Charge Unit,# of Items,Purchase Price,Retail Price,Margin,Markup
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Greek Loukaniko Sausage Links,4 links/ pack 14 oz pack,product,pk,pk,1,13,16.64,22,28
herdshare,Little Wings,Organic Vegetables - Broccoli/Cauliflower/Cabbage,Green Broccolini,each,product,bu,bu,1,2.75,3.66,25,33
herdshare,Little Wings,Organic Vegetables - Broccoli/Cauliflower/Cabbage,Green Cabbage,each,product,ea,ea,1,5,6.65,25,33
herdshare,Camas Swale Farm,Organic Vegetables - Leafy Greens,Green Curly Kale,each,product,bu,bu,1,2,2.68,25,34
herdshare,Little Wings,Organic Vegetables - Other,Green Kohlrabi,1 bunch,product,bu,bu,1,2.25,2.99,25,33
herdshare,Graziers Garden,Organic Vegetables - Squash,Green Noche Zuchinni,lb,product,lb,lb,1,2.25,2.99,25,33
herdshare,Small is Beautiful Farm,Organic Vegetables - Onions/Garlic,Green Scallions,each,product,bu,bu,1,2,2.68,25,34
herdshare,Camas Swale Farm,Organic Vegetables - Squash,Green Zucchini,1 lb,product,lb,lb,1,2,2.68,25,34
herdshare,Camas Swale Farm,Organic Vegetables - Onions/Garlic,Green garlic,1 lb,product,lb,lb,1,8,10.64,25,33
herdshare,Deck Family Farm,Spring Lamb,Ground Lamb,1.00 lbs,product,ea,ea,1,13,17.94,28,38
herdshare,Deck Family Farm,Pasture-raised Pork,Ground Pork,1.00 lbs,product,ea,ea,1,11.05,15.25,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Hanger Steak,0.40 - 0.70 lbs,product,ea,ea,1,9.29,12.82,28,38
herdshare,RL Plants,Home Goods,Hen and Chicks Succulents,each,product,ea,ea,1,4,5.32,25,33
herdshare,Camas Country Mill,Dry Goods,Hollys Dog Biscuit Mix,3 lb bag,product,bag,bag,1,10,13,23,30
herdshare,Deck Family Farm,Sausages & Cured Meats,"Honey Maple Ham, Sliced",8 oz,product,pk,pk,1,12.68,17.5,28,38
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Hot Italian Sausage Links,4 links/ pack 14 oz pack,product,pk,pk,1,13,17.94,28,38
herdshare,Red Tail Growers,Organic Vegetables - Leafy Greens,Iceberg Lettuce,ea,product,ea,ea,1,1.85,2.46,25,33
herdshare,Sweet Creek,Dry Goods,Jalapeno Relish,each,product,ea,ea,1,10.5,10.5,0,0
